count_group,product_name,barcode,price,pos_category,priority,stock,min,max,counted_by,counted_at,notes
Tobacco,Backwoods port 5 Pack,071610122741,15.00,TOBACCO,A,,,,,,
Tobacco,BACKWOODS RUM.,071610122772,15.50,TOBACCO,A,,,,,,
Tobacco,Belmont 20 ks,061900000132,18.50,TOBACCO,A,,,,,,
Tobacco,Belmont 20 RG,061900101143,18.50,TOBACCO,A,,,,,,
Tobacco,Belmont KS 25,061900101136,23.00,TOBACCO,A,,,,,,
Tobacco,Belmont KS 25 Carton,061900001139,173.00,TOBACCO,A,,,,,,
Tobacco,Belmont RG25,061900101150,23.00,TOBACCO,A,,,,,,
Tobacco,belmont select 20k,061900138125,18.50,TOBACCO,A,,,,,,
Tobacco,Belmont Select 25 K Carton,061900038135,173.00,TOBACCO,A,,,,,,
Tobacco,Belmont select KS,061900138132,23.00,TOBACCO,A,,,,,,
Tobacco,Belmont select RG 25,061900138156,23.00,TOBACCO,A,,,,,,
Tobacco,Belmont select small rg 20,061900138149,18.50,TOBACCO,A,,,,,,
Tobacco,Benson and Hedges Carton,061900200785,180.01,TOBACCO,A,,,,,,
Tobacco,Benson and Hedges delux 20k,061900103994,18.50,TOBACCO,A,,,,,,
Tobacco,Benson and Hedges Deluxe KS 20 carton,061900003997,141.00,TOBACCO,A,,,,,,
Tobacco,Benson and Hedges prime 25,061900000729,23.00,TOBACCO,A,,,,,,
Tobacco,Blackwood Whissky Tobacco,071610122802,16.95,TOBACCO,A,,,,,,
Tobacco,CAMEL ORIGINAL KS 20,060100005039,13.75,TOBACCO,A,,,,,,
Tobacco,Camel select 20,060100045592,13.75,TOBACCO,A,,,,,,
Tobacco,CAMEL SMOOTH LK,060100045295,16.75,TOBACCO,A,,,,,,
Tobacco,DRUM ORIGINAL VAPE & CIGARATTE TOBACCO 5,061900060228,44.07,TOBACCO,A,,,,,,
Tobacco,Drum Premier 50g,061900060235,44.07,TOBACCO,A,,,,,,
Tobacco,Du Maurier Distinct 20 Ks,059300006120,18.50,TOBACCO,A,,,,,,
Tobacco,Du Maurier Distinct 20 Rg,05933032,18.00,TOBACCO,A,,,,,,
Tobacco,Du Maurier Distinct 25 Ks,059300006137,23.00,TOBACCO,A,,,,,,
Tobacco,Du Maurier signature 20 ks,059300002818,18.50,TOBACCO,A,,,,,,
Tobacco,Du Maurier signature 20 Rg,05933139,18.50,TOBACCO,A,,,,,,
Tobacco,Du Maurier Signature 25 k,059300002870,23.00,TOBACCO,A,,,,,,
Tobacco,Du Maurier Signature 25 Rg,05936631,23.00,TOBACCO,A,,,,,,
Tobacco,Du Maurier Smooth 20 Ks,059300000203,18.00,TOBACCO,A,,,,,,
Tobacco,Du Maurier Smooth 20 Rg,05932732,18.00,TOBACCO,A,,,,,,
Tobacco,Du Maurier Smooth 25 Ks,059300000951,23.00,TOBACCO,A,,,,,,
Tobacco,Du Maurier Special 20 ks,059300003136,21.75,TOBACCO,A,,,,,,
Tobacco,EXPORT A FINE,060100009440,21.50,TOBACCO,A,,,,,,
Tobacco,EXPORT A FINE RG 25,060100009389,21.50,TOBACCO,A,,,,,,
Tobacco,Export A Full,060100003097,4.99,TOBACCO,A,,,,,,
Tobacco,FULL KING SIZE 25,060100045844,16.75,JTI VAPE & CIGARATE,A,,,,,,
Tobacco,High Tea Blunt Wraps Blueberry,751667206433,3.50,TOBACCO,A,,,,,,
Tobacco,High Tea Blunt Wraps Mango,751667206037,3.50,TOBACCO,A,,,,,,
Tobacco,IQOS IIUMA ONE PEBBLE BEIGE,061900497239,57.62,TOBACCO,A,,,,,,
Tobacco,KING SIZE RAW PAPER,716165280972,3.50,TOBACCO,A,,,,,,
Tobacco,LD BOLD KS 25,060100037641,16.75,TOBACCO,A,,,,,,
Tobacco,LD MEDIUM KS 20,060100037795,13.75,TOBACCO,A,,,,,,
Tobacco,LD SMOOTH KS 25,060100038037,16.75,TOBACCO,A,,,,,,
Tobacco,LD STANDARD BOLD,060100038631,16.75,TOBACCO,A,,,,,,
Tobacco,LD Standard Bold KS 20,060100038600,13.75,TOBACCO,A,,,,,,
Tobacco,MACDONALD ORIGINAL 20 KS,060100035159,15.00,TOBACCO,A,,,,,,
Tobacco,MACDONALD ORIGINAL 25 KS,060100035180,18.00,TOBACCO,A,,,,,,
Tobacco,MARLBORO 20,059300061693,15.50,TOBACCO,A,,,,,,
Tobacco,MARLBORO 25 KS,059300061709,18.75,TOBACCO,A,,,,,,
Tobacco,MARLBORO SMOOTH,059300063635,15.50,TOBACCO,A,,,,,,
Tobacco,Match 20,779186002022,11.01,TOBACCO,A,,,,,,
Tobacco,Match 20 K Carton,779186002039,108.01,TOBACCO,A,,,,,,
Tobacco,Match 25 K Carton,779186000943,108.01,TOBACCO,A,,,,,,
Tobacco,Match Chic 20,779186002053,11.01,TOBACCO,A,,,,,,
Tobacco,Match Chic 20 K,779186002060,108.01,TOBACCO,A,,,,,,
Tobacco,Match Chic 25 K Caton,779186001001,108.01,TOBACCO,A,,,,,,
Tobacco,match chic  king size,779186000998,13.75,TOBACCO,A,,,,,,
Tobacco,match king size,779186000936,13.75,TOBACCO,A,,,,,,
Tobacco,Matinee mellow KS 25,059300004423,26.00,TOBACCO,A,,,,,,
Tobacco,Matinee Subtle KS 20,059300010561,21.00,TOBACCO,A,,,,,,
Tobacco,Matinee subtle KS 25,059300010585,23.73,TOBACCO,A,,,,,,
Tobacco,Next Extra KS 20 Carton,061900007025,135.00,TOBACCO,A,,,,,,
Tobacco,Next Extra KS 25 carton,061900007049,140.00,TOBACCO,A,,,,,,
Tobacco,Next ORIGINAL KS 20,061900107008,14.50,TOBACCO,A,,,,,,
Tobacco,Next Original KS 20 carton,061900007001,134.99,TOBACCO,A,,,,,,
Tobacco,Next original KS 25,061900107053,18.00,TOBACCO,A,,,,,,
Tobacco,Next Original KS 25 carton,061900007056,140.00,TOBACCO,A,,,,,,
Tobacco,Next original RG 25,061900107138,18.00,TOBACCO,A,,,,,,
Tobacco,Next SMOOTH KS 25,061900107374,18.00,TOBACCO,A,,,,,,
Tobacco,Next XTRA KS 20,061900107022,14.50,TOBACCO,A,,,,,,
Tobacco,Next Xtra KS 25,061900107046,18.00,TOBACCO,A,,,,,,
Tobacco,Next Xtra Tobacco,061900106919,35.03,TOBACCO,A,,,,,,
Tobacco,OCB KS,30065505,2.83,TOBACCO,A,,,,,,
Tobacco,Pall Mall Bold cart.,059300527786,135.04,TOBACCO,A,,,,,,
Tobacco,PALL MALLSP XL FULL KS,059300062751,17.00,TOBACCO,A,,,,,,
Tobacco,Philip Morris original 20 ks,061900107213,14.50,TOBACCO,A,,,,,,
Tobacco,Philip Morris special 20 ks,061900107206,14.50,TOBACCO,A,,,,,,
Tobacco,Phillies Blunt Chocolate 5 Cigar/Pack,070235629482,13.25,TOBACCO,A,,,,,,
Tobacco,Phillies strawberry 5pk,070235629512,13.25,TOBACCO,A,,,,,,
Tobacco,PLAYER 25 RG,05934934,25.88,TOBACCO,A,,,,,,
Tobacco,PLAYER SMOOTH 25 KS,05935739,25.88,TOBACCO,A,,,,,,
Tobacco,PLAYERS SMOOTH 20 KS,05934031,20.68,TOBACCO,A,,,,,,
Tobacco,RAW ROLLING PAPERS 1.1/4 SIZE,716165177319,2.50,TOBACCO,A,,,,,,
Tobacco,RAW TIPS ROLL,716165179481,2.25,TOBACCO,A,,,,,,
Tobacco,RW KS PH,716165174219,3.38,TOBACCO,A,,,,,,
Tobacco,sail classic,061900074003,15.50,TOBACCO,A,,,,,,
Tobacco,Sail Deluxe Pipe Tobacco 50 g,061900068118,40.00,TOBACCO,A,,,,,,
Tobacco,TEREA BIRCHA FOR IIUMA 54,061900602220,35.58,TOBACCO,A,,,,,,
Tobacco,TEREA OAK FOR IIUMA 54,061900602206,35.58,TOBACCO,A,,,,,,
Tobacco,TOBACCO CAMEL ORIGINAL 25,060100045325,18.53,TOBACCO,A,,,,,,
Tobacco,Vogue,059300063345,21.00,TOBACCO,A,,,,,,
Tobacco,ZIG ZAG BLUE,008660100207,3.01,TOBACCO,A,,,,,,
Tobacco,ZIG ZAG SILVER,008660100405,3.50,TOBACCO,A,,,,,,
